"fare_id","route_id","origin_id","destination_id","contains_id"
"Ônibus","6291-10","","",""
"Ônibus","6338-10","","",""
"Ônibus","6358-10","","",""
"Ônibus","637A-10","","",""
"Ônibus","637A-21","","",""
"Ônibus","637A-22","","",""
"Ônibus","637A-25","","",""
"Ônibus","637A-26","","",""
"Ônibus","637G-10","","",""
"Ônibus","637G-51","","",""
"Ônibus","637J-10","","",""
"Ônibus","637P-10","","",""
"Ônibus","637R-10","","",""
"Ônibus","637V-10","","",""
"Ônibus","6400-10","","",""
"Ônibus","6403-10","","",""
"Ônibus","6412-10","","",""
"Ônibus","6414-10","","",""
"Ônibus","6418-10","","",""
"Ônibus","6422-10","","",""
"Ônibus","6450-10","","",""
"Ônibus","6451-10","","",""
"Ônibus","6455-10","","",""
"Ônibus","6475-10","","",""
"Ônibus","647A-10","","",""
"Ônibus","647P-10","","",""
"Ônibus","648P-10","","",""
"Ônibus","6500-10","","",""
"Ônibus","6505-10","","",""
"Ônibus","669A-10","","",""
"Ônibus","6726-10","","",""
"Ônibus","675A-10","","",""
"Ônibus","675G-10","","",""
"Ônibus","675G-22","","",""
"Ônibus","675G-41","","",""
"Ônibus","675I-10","","",""
"Ônibus","675K-10","","",""
"Ônibus","675K-23","","",""
"Ônibus","675L-10","","",""
"Ônibus","675M-10","","",""
"Ônibus","675N-10","","",""
"Ônibus","675P-10","","",""
"Ônibus","675R-10","","",""
"Ônibus","675X-10","","",""
"Ônibus","677A-10","","",""
"Ônibus","677V-10","","",""
"Ônibus","677Y-10","","",""
"Ônibus","6801-10","","",""
"Ônibus","6801-51","","",""
"Ônibus","6803-10","","",""
"Ônibus","6804-10","","",""
"Ônibus","6805-10","","",""
"Ônibus","6805-31","","",""
"Ônibus","6806-10","","",""
"Ônibus","6812-10","","",""
"Ônibus","6813-10","","",""
"Ônibus","6815-10","","",""
"Ônibus","6816-10","","",""
"Ônibus","6816-31","","",""
"Ônibus","6817-10","","",""
"Ônibus","6818-10","","",""
"Ônibus","6820-10","","",""
"Ônibus","6820-31","","",""
"Ônibus","6821-10","","",""
"Ônibus","6823-10","","",""
"Ônibus","6824-10","","",""
"Ônibus","6825-10","","",""
"Ônibus","6826-10","","",""
"Ônibus","6835-10","","",""
"Ônibus","6835-31","","",""
"Ônibus","6836-10","","",""
"Ônibus","6837-10","","",""
"Ônibus","6840-10","","",""
"Ônibus","6913-10","","",""
"Ônibus","6913-21","","",""
"Ônibus","695D-10","","",""
"Ônibus","695H-10","","",""
"Ônibus","695T-10","","",""
"Ônibus","695T-51","","",""
"Ônibus","695V-10","","",""
"Ônibus","695X-10","","",""
"Ônibus","695X-22","","",""
"Ônibus","695Y-10","","",""
"Ônibus","695Y-21","","",""
"Ônibus","695Y-41","","",""
"Ônibus","6960-10","","",""
